Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00599902	0.00000000	6.34785000
-1.98599902	0.00000000	4.76088700
-1.96599902	0.00000000	7.93481200
-1.94599902	0.00000000	7.93481200
-1.92599902	0.00000000	9.52177400
-1.90599902	0.00000000	7.93481200
-1.88599902	0.00000000	7.93481200
-1.86599902	0.00000000	7.93481200
-1.84599902	0.00000000	7.93481200
-1.82599902	0.00000000	9.52177400
-1.80599902	0.00000000	9.52177400
-1.78599902	0.00000000	7.93481200
-1.76599902	0.00000000	7.93481200
-1.74599902	0.00000000	7.93481200
-1.72599902	0.00000000	6.34785000
-1.70599902	0.00000000	6.34785000
-1.68599902	0.00000000	6.34785000
-1.66599902	0.00000000	6.34785000
-1.64599902	0.00000000	6.34785000
-1.62599902	0.00000000	7.93481200
-1.60599902	0.00000000	7.93481200
-1.58599902	0.00000000	7.93481200
-1.56599902	0.00000000	7.93481200
-1.54599902	0.00000000	7.93481200
-1.52599902	0.00000000	6.34785000
-1.50599903	0.00000000	4.76088700
-1.48599903	0.00000000	4.76088700
-1.46599903	0.00000000	6.34785000
-1.44599903	0.00000000	6.34785000
-1.42599903	0.00000000	4.76088700
-1.40599903	0.00000000	3.17392500
-1.38599903	0.00000000	3.17392500
-1.36599903	0.00000000	4.76088700
-1.34599903	0.00000000	4.76088700
-1.32599903	0.00000000	6.34785000
-1.30599903	0.00000000	7.93481200
-1.28599903	0.00000000	7.93481200
-1.26599903	0.00000000	7.93481200
-1.24599903	0.00000000	4.76088700
-1.22599903	0.00000000	4.76088700
-1.20599903	0.00000000	4.76088700
-1.18599903	0.00000000	4.76088700
-1.16599903	0.00000000	4.76088700
-1.14599903	0.00000000	4.76088700
-1.12599903	0.00000000	4.76088700
-1.10599903	0.00000000	3.17392500
-1.08599903	0.00000000	4.76088700
-1.06599903	0.00000000	4.76088700
-1.04599903	0.00000000	6.34785000
-1.02599903	0.00000000	6.34785000
-1.00599903	0.00000000	4.76088700
-0.98599903	0.00000000	6.34785000
-0.96599903	0.00000000	6.34785000
-0.94599903	0.00000000	4.76088700
-0.92599903	0.00000000	6.34785000
-0.90599903	0.00000000	7.93481200
-0.88599903	0.00000000	6.34785000
-0.86599903	0.00000000	6.34785000
-0.84599903	0.00000000	6.34785000
-0.82599903	0.00000000	6.34785000
-0.80599903	0.00000000	4.76088700
-0.78599903	0.00000000	6.34785000
-0.76599903	0.00000000	6.34785000
-0.74599903	0.00000000	7.93481200
-0.72599903	0.00000000	7.93481200
-0.70599903	0.00000000	7.93481200
-0.68599903	0.00000000	6.34785000
-0.66599903	0.00000000	7.93481200
-0.64599903	0.00000000	9.52177400
-0.62599903	0.00000000	7.93481200
-0.60599903	0.00000000	7.93481200
-0.58599903	0.00000000	7.93481200
-0.56599903	0.00000000	6.34785000
-0.54599903	0.00000000	6.34785000
-0.52599903	0.00000000	4.76088700
-0.50599903	0.00000000	6.34785000
-0.48599903	0.00000000	6.34785000
-0.46599903	0.00000000	6.34785000
