Time	Channel A	Channel B
(us)	(V)	(mV)

-2.02399906	0.00000000	1.58696200
-2.00399906	0.00000000	1.58696200
-1.98399906	0.00000000	1.58696200
-1.96399906	0.00000000	1.58696200
-1.94399906	0.00000000	1.58696200
-1.92399906	0.00000000	1.58696200
-1.90399906	0.00000000	0.00000000
-1.88399906	0.00000000	0.00000000
-1.86399906	0.00000000	1.58696200
-1.84399906	0.00000000	1.58696200
-1.82399906	0.00000000	1.58696200
-1.80399906	0.00000000	1.58696200
-1.78399906	0.00000000	3.17392500
-1.76399906	0.00000000	1.58696200
-1.74399906	0.00000000	1.58696200
-1.72399906	0.00000000	3.17392500
-1.70399906	0.00000000	4.76088700
-1.68399906	0.00000000	3.17392500
-1.66399906	0.00000000	3.17392500
-1.64399906	0.00000000	1.58696200
-1.62399906	0.00000000	1.58696200
-1.60399906	0.00000000	0.00000000
-1.58399906	0.00000000	1.58696200
-1.56399906	0.00000000	0.00000000
-1.54399906	0.00000000	0.00000000
-1.52399906	0.00000000	0.00000000
-1.50399906	0.00000000	0.00000000
-1.48399906	0.00000000	0.00000000
-1.46399906	0.00000000	1.58696200
-1.44399906	0.00000000	3.17392500
-1.42399906	0.00000000	4.76088700
-1.40399906	0.00000000	4.76088700
-1.38399906	0.00000000	4.76088700
-1.36399906	0.00000000	4.76088700
-1.34399906	0.00000000	3.17392500
-1.32399906	0.00000000	3.17392500
-1.30399906	0.00000000	4.76088700
-1.28399906	0.00000000	3.17392500
-1.26399906	0.00000000	1.58696200
-1.24399906	0.00000000	3.17392500
-1.22399906	0.00000000	3.17392500
-1.20399906	0.00000000	3.17392500
-1.18399906	0.00000000	3.17392500
-1.16399906	0.00000000	3.17392500
-1.14399906	0.00000000	4.76088700
-1.12399906	0.00000000	3.17392500
-1.10399906	0.00000000	3.17392500
-1.08399906	0.00000000	3.17392500
-1.06399906	0.00000000	1.58696200
-1.04399906	0.00000000	3.17392500
-1.02399907	0.00000000	3.17392500
-1.00399907	0.00000000	1.58696200
-0.98399907	0.00000000	1.58696200
-0.96399907	0.00000000	0.00000000
-0.94399907	0.00000000	0.00000000
-0.92399907	0.00000000	0.00000000
-0.90399907	0.00000000	0.00000000
-0.88399907	0.00000000	0.00000000
-0.86399907	0.00000000	1.58696200
-0.84399907	0.00000000	1.58696200
-0.82399907	0.00000000	1.58696200
-0.80399907	0.00000000	0.00000000
-0.78399907	0.00000000	0.00000000
-0.76399907	0.00000000	0.00000000
-0.74399907	0.00000000	-1.58696200
-0.72399907	0.00000000	0.00000000
-0.70399907	0.00000000	1.58696200
-0.68399907	0.00000000	1.58696200
-0.66399907	0.00000000	1.58696200
-0.64399907	0.00000000	1.58696200
-0.62399907	0.00000000	1.58696200
-0.60399907	0.00000000	1.58696200
-0.58399907	0.00000000	1.58696200
-0.56399907	0.00000000	0.00000000
-0.54399907	0.00000000	0.00000000
-0.52399907	0.00000000	1.58696200
-0.50399907	0.00000000	1.58696200
-0.48399907	0.00000000	-1.58696200
