Time	Channel A	Channel B
(us)	(V)	(mV)

-2.02949809	-0.00793481	-1.58696200
-2.00949809	-0.00793481	-1.58696200
-1.98949809	-0.00793481	-3.17392500
-1.96949809	-0.00793481	-3.17392500
-1.94949809	-0.00793481	-3.17392500
-1.92949809	-0.00793481	-1.58696200
-1.90949809	-0.00793481	-1.58696200
-1.88949809	-0.00793481	-3.17392500
-1.86949809	-0.00793481	-3.17392500
-1.84949809	-0.00793481	-4.76088700
-1.82949809	-0.00793481	-3.17392500
-1.80949809	-0.00793481	-3.17392500
-1.78949809	-0.00793481	-4.76088700
-1.76949809	-0.00793481	-6.34785000
-1.74949809	-0.00793481	-6.34785000
-1.72949809	-0.00793481	-4.76088700
-1.70949809	-0.00793481	-4.76088700
-1.68949809	-0.00793481	-4.76088700
-1.66949809	-0.00793481	-3.17392500
-1.64949809	-0.00793481	-4.76088700
-1.62949809	-0.00793481	-4.76088700
-1.60949809	-0.00793481	-3.17392500
-1.58949809	-0.00793481	-4.76088700
-1.56949809	-0.00793481	-3.17392500
-1.54949809	-0.00793481	-3.17392500
-1.52949809	-0.00793481	-1.58696200
-1.50949809	-0.00793481	-3.17392500
-1.48949809	-0.00793481	-4.76088700
-1.46949809	-0.00793481	-3.17392500
-1.44949809	-0.00793481	-3.17392500
-1.42949810	-0.00793481	-1.58696200
-1.40949810	-0.00793481	-1.58696200
-1.38949810	-0.00793481	-1.58696200
-1.36949810	-0.00793481	-1.58696200
-1.34949810	-0.00793481	-1.58696200
-1.32949810	-0.00793481	-1.58696200
-1.30949810	-0.00793481	-1.58696200
-1.28949810	-0.00793481	-1.58696200
-1.26949810	-0.00793481	0.00000000
-1.24949810	-0.00793481	-1.58696200
-1.22949810	-0.00793481	-3.17392500
-1.20949810	-0.00793481	-1.58696200
-1.18949810	-0.00793481	-1.58696200
-1.16949810	-0.00793481	0.00000000
-1.14949810	-0.00793481	0.00000000
-1.12949810	-0.00793481	0.00000000
-1.10949810	-0.00793481	0.00000000
-1.08949810	-0.00793481	-1.58696200
-1.06949810	-0.00793481	-1.58696200
-1.04949810	-0.00793481	-1.58696200
-1.02949810	-0.00793481	-1.58696200
-1.00949810	-0.00793481	-1.58696200
-0.98949810	-0.00793481	-1.58696200
-0.96949810	-0.00793481	-1.58696200
-0.94949810	-0.00793481	-3.17392500
-0.92949810	-0.00793481	-4.76088700
-0.90949810	-0.00793481	-4.76088700
-0.88949810	-0.00793481	-6.34785000
-0.86949810	-0.00793481	-4.76088700
-0.84949810	-0.00793481	-3.17392500
-0.82949810	-0.00793481	-3.17392500
-0.80949810	-0.00793481	-3.17392500
-0.78949810	-0.00793481	-1.58696200
-0.76949810	-0.00793481	-1.58696200
-0.74949810	-0.00793481	-1.58696200
-0.72949810	-0.00793481	-1.58696200
-0.70949810	-0.00793481	-3.17392500
-0.68949810	-0.00793481	-3.17392500
-0.66949810	-0.00793481	-3.17392500
-0.64949810	-0.00793481	-3.17392500
-0.62949810	-0.00793481	-4.76088700
