Time	Channel A	Channel B
(us)	(V)	(mV)

-2.01333296	-0.00793481	-1.58696200
-1.99333296	-0.00793481	-1.58696200
-1.97333296	-0.00793481	-3.17392500
-1.95333296	-0.00793481	-1.58696200
-1.93333296	0.00000000	-1.58696200
-1.91333296	0.00000000	-1.58696200
-1.89333296	-0.00793481	-1.58696200
-1.87333296	-0.00793481	-3.17392500
-1.85333296	-0.00793481	-1.58696200
-1.83333296	-0.00793481	-3.17392500
-1.81333296	0.00000000	-1.58696200
-1.79333296	0.00000000	-1.58696200
-1.77333296	-0.00793481	-1.58696200
-1.75333296	-0.00793481	-1.58696200
-1.73333296	-0.00793481	-3.17392500
-1.71333296	-0.00793481	-3.17392500
-1.69333296	-0.00793481	-4.76088700
-1.67333296	-0.00793481	-3.17392500
-1.65333296	-0.00793481	0.00000000
-1.63333296	0.00000000	0.00000000
-1.61333296	-0.00793481	-1.58696200
-1.59333296	-0.00793481	-1.58696200
-1.57333296	-0.00793481	-1.58696200
-1.55333296	-0.00793481	0.00000000
-1.53333296	-0.00793481	0.00000000
-1.51333296	0.00000000	0.00000000
-1.49333296	-0.00793481	1.58696200
-1.47333296	-0.00793481	1.58696200
-1.45333296	-0.00793481	0.00000000
-1.43333296	0.00000000	0.00000000
-1.41333296	0.00000000	1.58696200
-1.39333296	0.00000000	0.00000000
-1.37333296	-0.00793481	1.58696200
-1.35333296	-0.00793481	0.00000000
-1.33333296	-0.00793481	0.00000000
-1.31333296	-0.00793481	-1.58696200
-1.29333296	-0.00793481	-1.58696200
-1.27333296	0.00000000	-1.58696200
-1.25333296	-0.00793481	-1.58696200
-1.23333296	-0.00793481	0.00000000
-1.21333296	-0.00793481	0.00000000
-1.19333296	0.00000000	-1.58696200
-1.17333297	-0.00793481	-1.58696200
-1.15333297	0.00000000	-1.58696200
-1.13333297	-0.00793481	0.00000000
-1.11333297	-0.00793481	0.00000000
-1.09333297	-0.00793481	0.00000000
-1.07333297	-0.00793481	-1.58696200
-1.05333297	0.00000000	0.00000000
-1.03333297	-0.00793481	-1.58696200
-1.01333297	-0.00793481	-1.58696200
-0.99333297	-0.00793481	0.00000000
-0.97333297	-0.00793481	-1.58696200
-0.95333297	0.00000000	-3.17392500
-0.93333297	0.00000000	-4.76088700
-0.91333297	-0.00793481	-4.76088700
-0.89333297	-0.00793481	-3.17392500
-0.87333297	-0.00793481	-3.17392500
-0.85333297	-0.00793481	-3.17392500
-0.83333297	0.00000000	-3.17392500
-0.81333297	0.00000000	-3.17392500
-0.79333297	0.00000000	-4.76088700
-0.77333297	-0.00793481	-3.17392500
-0.75333297	0.00000000	-1.58696200
-0.73333297	-0.00793481	0.00000000
-0.71333297	0.00000000	0.00000000
-0.69333297	-0.00793481	-1.58696200
-0.67333297	0.00000000	-3.17392500
-0.65333297	-0.00793481	0.00000000
-0.63333297	-0.00793481	-1.58696200
-0.61333297	-0.00793481	-1.58696200
-0.59333297	0.00000000	-1.58696200
-0.57333297	-0.00793481	0.00000000
