Time	Channel A	Channel B
(us)	(V)	(mV)

-5.02799912	-0.00793481	-7.93481200
-4.98799912	-0.00793481	-7.93481200
-4.94799912	-0.00793481	-6.34785000
-4.90799912	-0.00793481	-7.93481200
-4.86799912	-0.00793481	-9.52177400
-4.82799912	-0.00793481	-7.93481200
-4.78799912	-0.00793481	-7.93481200
-4.74799912	-0.00793481	-9.52177400
-4.70799912	-0.00793481	-9.52177400
-4.66799913	-0.00793481	-9.52177400
-4.62799913	-0.00793481	-9.52177400
-4.58799913	-0.00793481	-7.93481200
-4.54799913	-0.00793481	-7.93481200
-4.50799913	-0.00793481	-9.52177400
-4.46799913	-0.00793481	-7.93481200
-4.42799913	-0.00793481	-7.93481200
-4.38799913	-0.00793481	-7.93481200
-4.34799913	-0.00793481	-11.10874000
-4.30799913	-0.00793481	-9.52177400
-4.26799913	-0.00793481	-7.93481200
-4.22799913	-0.00793481	-7.93481200
-4.18799913	-0.00793481	-6.34785000
-4.14799913	-0.00793481	-6.34785000
-4.10799913	-0.00793481	-6.34785000
-4.06799913	-0.00793481	-6.34785000
-4.02799913	-0.00793481	-7.93481200
-3.98799913	-0.00793481	-7.93481200
-3.94799913	-0.00793481	-6.34785000
-3.90799913	-0.00793481	-4.76088700
-3.86799913	-0.00793481	-6.34785000
-3.82799913	-0.00793481	-7.93481200
-3.78799913	-0.00793481	-6.34785000
-3.74799913	-0.00793481	-6.34785000
-3.70799913	-0.00793481	-6.34785000
-3.66799913	-0.00793481	-7.93481200
-3.62799913	-0.00793481	-7.93481200
-3.58799913	-0.00793481	-9.52177400
-3.54799913	-0.00793481	-7.93481200
-3.50799913	-0.00793481	-7.93481200
-3.46799913	-0.00793481	-7.93481200
-3.42799913	-0.00793481	-7.93481200
-3.38799913	-0.00793481	-6.34785000
-3.34799913	-0.00793481	-6.34785000
-3.30799913	-0.00793481	-9.52177400
-3.26799913	-0.00793481	-6.34785000
-3.22799913	-0.00793481	-4.76088700
-3.18799913	-0.00793481	-3.17392500
-3.14799913	-0.00793481	-6.34785000
-3.10799913	-0.00793481	-6.34785000
-3.06799913	-0.00793481	-6.34785000
-3.02799913	-0.00793481	-7.93481200
-2.98799914	-0.00793481	-7.93481200
-2.94799914	-0.00793481	-9.52177400
-2.90799914	-0.00793481	-6.34785000
-2.86799914	-0.00793481	-6.34785000
-2.82799914	-0.00793481	-4.76088700
-2.78799914	-0.00793481	-4.76088700
-2.74799914	-0.00793481	-7.93481200
-2.70799914	-0.00793481	-7.93481200
-2.66799914	-0.00793481	-7.93481200
-2.62799914	-0.00793481	-9.52177400
-2.58799914	-0.00793481	-7.93481200
-2.54799914	-0.00793481	-7.93481200
-2.50799914	-0.00793481	-7.93481200
-2.46799914	-0.00793481	-7.93481200
-2.42799914	-0.00793481	-9.52177400
-2.38799914	-0.00793481	-9.52177400
-2.34799914	-0.00793481	-9.52177400
-2.30799914	-0.00793481	-6.34785000
-2.26799914	-0.00793481	-6.34785000
