Time	Channel A	Channel B
(us)	(V)	(mV)

-2.02599790	0.00000000	4.76088700
-2.00599790	0.00000000	4.76088700
-1.98599790	0.00000000	6.34785000
-1.96599790	0.00000000	4.76088700
-1.94599790	0.00000000	4.76088700
-1.92599790	0.00000000	4.76088700
-1.90599790	0.00000000	4.76088700
-1.88599790	0.00000000	6.34785000
-1.86599790	0.00000000	6.34785000
-1.84599790	0.00000000	6.34785000
-1.82599790	0.00000000	3.17392500
-1.80599790	0.00000000	3.17392500
-1.78599790	0.00000000	3.17392500
-1.76599790	0.00000000	4.76088700
-1.74599790	0.00000000	4.76088700
-1.72599790	0.00000000	6.34785000
-1.70599790	0.00000000	6.34785000
-1.68599790	0.00000000	7.93481200
-1.66599790	0.00000000	6.34785000
-1.64599790	0.00000000	9.52177400
-1.62599790	0.00000000	11.10874000
-1.60599790	0.00000000	9.52177400
-1.58599790	0.00000000	9.52177400
-1.56599790	0.00000000	9.52177400
-1.54599790	0.00000000	7.93481200
-1.52599790	0.00000000	7.93481200
-1.50599790	0.00000000	6.34785000
-1.48599790	0.00000000	7.93481200
-1.46599790	0.00000000	7.93481200
-1.44599790	0.00000000	7.93481200
-1.42599790	0.00000000	7.93481200
-1.40599790	0.00000000	6.34785000
-1.38599790	0.00000000	6.34785000
-1.36599791	0.00000000	6.34785000
-1.34599791	0.00000000	7.93481200
-1.32599791	0.00000000	9.52177400
-1.30599791	0.00000000	7.93481200
-1.28599791	0.00000000	9.52177400
-1.26599791	0.00000000	7.93481200
-1.24599791	0.00000000	6.34785000
-1.22599791	0.00000000	6.34785000
-1.20599791	0.00000000	6.34785000
-1.18599791	0.00000000	4.76088700
-1.16599791	0.00000000	3.17392500
-1.14599791	0.00000000	3.17392500
-1.12599791	0.00000000	3.17392500
-1.10599791	0.00000000	3.17392500
-1.08599791	0.00000000	4.76088700
-1.06599791	0.00000000	4.76088700
-1.04599791	0.00000000	6.34785000
-1.02599791	0.00000000	4.76088700
-1.00599791	0.00000000	6.34785000
-0.98599791	0.00000000	6.34785000
-0.96599791	0.00000000	6.34785000
-0.94599791	0.00000000	7.93481200
-0.92599791	0.00000000	7.93481200
-0.90599791	0.00000000	6.34785000
-0.88599791	0.00000000	6.34785000
-0.86599791	0.00000000	6.34785000
-0.84599791	0.00000000	6.34785000
-0.82599791	0.00000000	7.93481200
-0.80599791	0.00000000	6.34785000
-0.78599791	0.00000000	7.93481200
-0.76599791	0.00000000	6.34785000
-0.74599791	0.00000000	6.34785000
-0.72599791	0.00000000	7.93481200
-0.70599791	0.00000000	6.34785000
-0.68599791	0.00000000	7.93481200
-0.66599791	0.00000000	7.93481200
-0.64599791	0.00000000	6.34785000
-0.62599791	0.00000000	6.34785000
-0.60599791	0.00000000	6.34785000
-0.58599791	0.00000000	6.34785000
-0.56599791	0.00000000	7.93481200
-0.54599791	0.00000000	7.93481200
-0.52599791	0.00000000	6.34785000
-0.50599791	0.00000000	6.34785000
-0.48599791	0.00000000	6.34785000
