Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00601903	-0.00793481	-4.76088700
-1.98601903	-0.00793481	-4.76088700
-1.96601903	-0.00793481	-3.17392500
-1.94601903	-0.00793481	-4.76088700
-1.92601903	-0.00793481	-3.17392500
-1.90601903	-0.00793481	-3.17392500
-1.88601903	-0.00793481	-4.76088700
-1.86601903	-0.00793481	-3.17392500
-1.84601903	-0.00793481	-3.17392500
-1.82601903	-0.00793481	-3.17392500
-1.80601903	-0.00793481	-3.17392500
-1.78601903	-0.00793481	-3.17392500
-1.76601903	-0.00793481	-1.58696200
-1.74601903	-0.00793481	-3.17392500
-1.72601903	-0.00793481	-3.17392500
-1.70601903	-0.00793481	-3.17392500
-1.68601903	-0.00793481	-3.17392500
-1.66601903	-0.00793481	-3.17392500
-1.64601903	-0.00793481	-1.58696200
-1.62601903	-0.00793481	-3.17392500
-1.60601903	-0.00793481	-1.58696200
-1.58601903	-0.00793481	-1.58696200
-1.56601903	-0.00793481	-3.17392500
-1.54601903	-0.00793481	-3.17392500
-1.52601903	-0.00793481	-4.76088700
-1.50601903	-0.00793481	-4.76088700
-1.48601903	-0.00793481	-4.76088700
-1.46601903	-0.00793481	-1.58696200
-1.44601903	-0.00793481	-1.58696200
-1.42601903	-0.00793481	-1.58696200
-1.40601903	-0.00793481	0.00000000
-1.38601903	-0.00793481	0.00000000
-1.36601903	-0.00793481	-1.58696200
-1.34601903	-0.00793481	-1.58696200
-1.32601904	-0.00793481	-3.17392500
-1.30601904	-0.00793481	-1.58696200
-1.28601904	-0.00793481	-1.58696200
-1.26601904	-0.00793481	-1.58696200
-1.24601904	-0.00793481	-1.58696200
-1.22601904	-0.00793481	-1.58696200
-1.20601904	-0.00793481	-1.58696200
-1.18601904	-0.00793481	-1.58696200
-1.16601904	-0.00793481	-3.17392500
-1.14601904	-0.00793481	-1.58696200
-1.12601904	-0.00793481	-1.58696200
-1.10601904	-0.00793481	-1.58696200
-1.08601904	-0.00793481	-1.58696200
-1.06601904	-0.00793481	-1.58696200
-1.04601904	-0.00793481	-3.17392500
-1.02601904	-0.00793481	0.00000000
-1.00601904	-0.00793481	-1.58696200
-0.98601904	-0.00793481	-3.17392500
-0.96601904	-0.00793481	-6.34785000
-0.94601904	-0.00793481	-6.34785000
-0.92601904	-0.00793481	-6.34785000
-0.90601904	-0.00793481	-4.76088700
-0.88601904	-0.00793481	-3.17392500
-0.86601904	-0.00793481	-3.17392500
-0.84601904	-0.00793481	-1.58696200
-0.82601904	-0.00793481	-3.17392500
-0.80601904	-0.00793481	-4.76088700
-0.78601904	-0.00793481	-4.76088700
-0.76601904	-0.00793481	-3.17392500
-0.74601904	-0.00793481	-1.58696200
-0.72601904	-0.00793481	-3.17392500
-0.70601904	-0.00793481	-4.76088700
-0.68601904	-0.00793481	-4.76088700
-0.66601904	-0.00793481	-6.34785000
-0.64601904	-0.00793481	-6.34785000
-0.62601904	-0.00793481	-6.34785000
-0.60601904	-0.00793481	-6.34785000
