Time	Channel A	Channel B
(us)	(V)	(mV)

-1.99333294	-0.00793481	-3.17392500
-1.97333294	-0.00793481	-3.17392500
-1.95333294	0.00000000	-3.17392500
-1.93333294	0.00000000	-3.17392500
-1.91333294	-0.00793481	-3.17392500
-1.89333294	-0.00793481	-3.17392500
-1.87333294	-0.00793481	-3.17392500
-1.85333294	0.00000000	-3.17392500
-1.83333295	-0.00793481	-4.76088700
-1.81333295	-0.00793481	-4.76088700
-1.79333295	-0.00793481	-4.76088700
-1.77333295	-0.00793481	-4.76088700
-1.75333295	0.00000000	-3.17392500
-1.73333295	-0.00793481	-1.58696200
-1.71333295	0.00000000	0.00000000
-1.69333295	-0.00793481	0.00000000
-1.67333295	0.00000000	3.17392500
-1.65333295	-0.00793481	3.17392500
-1.63333295	0.00000000	1.58696200
-1.61333295	-0.00793481	0.00000000
-1.59333295	0.00000000	-1.58696200
-1.57333295	-0.00793481	-1.58696200
-1.55333295	0.00000000	-1.58696200
-1.53333295	-0.00793481	0.00000000
-1.51333295	0.00000000	0.00000000
-1.49333295	-0.00793481	0.00000000
-1.47333295	0.00000000	0.00000000
-1.45333295	-0.00793481	0.00000000
-1.43333295	0.00000000	-1.58696200
-1.41333295	-0.00793481	-1.58696200
-1.39333295	-0.00793481	-1.58696200
-1.37333295	-0.00793481	-1.58696200
-1.35333295	-0.00793481	0.00000000
-1.33333295	-0.00793481	-1.58696200
-1.31333295	0.00000000	-1.58696200
-1.29333295	-0.00793481	-1.58696200
-1.27333295	0.00000000	-1.58696200
-1.25333295	-0.00793481	-1.58696200
-1.23333295	0.00000000	-1.58696200
-1.21333295	-0.00793481	-1.58696200
-1.19333295	0.00000000	-1.58696200
-1.17333295	-0.00793481	-1.58696200
-1.15333295	0.00000000	-1.58696200
-1.13333295	-0.00793481	-1.58696200
-1.11333295	0.00000000	-1.58696200
-1.09333295	0.00000000	-3.17392500
-1.07333295	0.00000000	-1.58696200
-1.05333295	0.00000000	-3.17392500
-1.03333295	-0.00793481	-1.58696200
-1.01333295	-0.00793481	-1.58696200
-0.99333295	-0.00793481	-1.58696200
-0.97333295	0.00000000	-1.58696200
-0.95333295	0.00000000	-1.58696200
-0.93333295	0.00000000	-3.17392500
-0.91333295	-0.00793481	-3.17392500
-0.89333295	-0.00793481	-3.17392500
-0.87333295	0.00000000	-3.17392500
-0.85333295	0.00000000	-3.17392500
-0.83333295	0.00000000	-3.17392500
-0.81333295	0.00000000	-3.17392500
-0.79333295	0.00000000	-1.58696200
-0.77333295	-0.00793481	-1.58696200
-0.75333295	-0.00793481	-1.58696200
-0.73333295	0.00000000	-1.58696200
-0.71333295	0.00000000	-1.58696200
-0.69333295	0.00000000	-3.17392500
-0.67333295	-0.00793481	-3.17392500
-0.65333295	-0.00793481	-1.58696200
-0.63333295	-0.00793481	-1.58696200
-0.61333295	0.00000000	-1.58696200
-0.59333295	-0.00793481	0.00000000
-0.57333295	-0.00793481	-1.58696200
-0.55333295	-0.00793481	-1.58696200
