Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00666591	0.00000000	3.17392500
-1.98666591	0.00000000	3.17392500
-1.96666591	0.00000000	3.17392500
-1.94666591	0.00000000	1.58696200
-1.92666591	-0.00793481	1.58696200
-1.90666591	0.00000000	0.00000000
-1.88666591	0.00000000	-1.58696200
-1.86666591	0.00000000	-1.58696200
-1.84666591	-0.00793481	0.00000000
-1.82666591	0.00000000	-1.58696200
-1.80666591	0.00000000	-1.58696200
-1.78666591	0.00000000	-1.58696200
-1.76666591	0.00000000	0.00000000
-1.74666591	0.00000000	0.00000000
-1.72666591	0.00000000	1.58696200
-1.70666591	-0.00793481	1.58696200
-1.68666591	0.00000000	0.00000000
-1.66666591	0.00000000	0.00000000
-1.64666591	0.00000000	0.00000000
-1.62666591	0.00000000	-1.58696200
-1.60666591	0.00000000	-1.58696200
-1.58666591	0.00000000	-1.58696200
-1.56666591	0.00000000	-1.58696200
-1.54666591	-0.00793481	-1.58696200
-1.52666591	0.00000000	-1.58696200
-1.50666591	0.00000000	-3.17392500
-1.48666591	0.00000000	-3.17392500
-1.46666591	0.00000000	-1.58696200
-1.44666591	0.00000000	-1.58696200
-1.42666591	0.00000000	0.00000000
-1.40666591	-0.00793481	0.00000000
-1.38666591	0.00000000	0.00000000
-1.36666591	0.00000000	0.00000000
-1.34666591	0.00000000	1.58696200
-1.32666591	0.00000000	1.58696200
-1.30666591	0.00000000	0.00000000
-1.28666591	0.00000000	-1.58696200
-1.26666591	0.00000000	-1.58696200
-1.24666591	0.00000000	0.00000000
-1.22666591	0.00000000	0.00000000
-1.20666591	-0.00793481	1.58696200
-1.18666591	-0.00793481	0.00000000
-1.16666591	-0.00793481	0.00000000
-1.14666591	0.00000000	0.00000000
-1.12666591	0.00000000	0.00000000
-1.10666591	0.00000000	0.00000000
-1.08666591	-0.00793481	1.58696200
-1.06666591	-0.00793481	1.58696200
-1.04666591	-0.00793481	3.17392500
-1.02666591	0.00000000	1.58696200
-1.00666592	0.00000000	0.00000000
-0.98666592	0.00000000	0.00000000
-0.96666592	0.00000000	-1.58696200
-0.94666592	-0.00793481	0.00000000
-0.92666592	0.00000000	0.00000000
-0.90666592	0.00000000	0.00000000
-0.88666592	-0.00793481	0.00000000
-0.86666592	-0.00793481	-1.58696200
-0.84666592	-0.00793481	-3.17392500
-0.82666592	0.00000000	-3.17392500
-0.80666592	0.00000000	-1.58696200
-0.78666592	0.00000000	-1.58696200
-0.76666592	-0.00793481	-1.58696200
-0.74666592	-0.00793481	-3.17392500
-0.72666592	-0.00793481	-3.17392500
-0.70666592	-0.00793481	-3.17392500
-0.68666592	0.00000000	-3.17392500
-0.66666592	0.00000000	-1.58696200
-0.64666592	0.00000000	-1.58696200
-0.62666592	0.00000000	-1.58696200
-0.60666592	0.00000000	-1.58696200
-0.58666592	0.00000000	-1.58696200
-0.56666592	0.00000000	-1.58696200
-0.54666592	0.00000000	-1.58696200
-0.52666592	0.00000000	0.00000000
